etternavn;personer_2020
Evertsen;215
Evje;235
Evjen;1055
Evju;247
Fadnes;253
Fagerbakke;229
Fagereng;243
Fagerhaug;265
Fagerheim;795
Fagerland;557
Fagerli;1044
Fagermo;265
Fagernes;309
Fagertun;226
Fagervik;271
Fagervold;234
Fagerås;246
Falch;975
Falck;497
Falk;284
Falkenberg;216
Fallet;301
Fanebust;285
Farah;830
Fardal;278
Farestveit;297
Farooq;235
Farstad;1574
Fauskanger;417
Fauske;720
Fedje;200
Fenne;207
Feragen;317
Ferkingstad;359
Ferstad;231
Fevang;541
Fidje;283
Fidjeland;241
Figenschau;226
Figenschou;279
Fiksdal;380
Fimland;200
Fimreite;253
Finne;496
Finnerud;255
Finnesand;237
Finnøy;215
Finseth;326
Finsrud;470
Finstad;1760
Fischer;376
Fiske;390
Fiskerstrand;359
Fiskum;312
Fiskvik;344
Fiskå;288
Fjeld;2510
Fjeldberg;544
Fjelde;604
Fjeldheim;572
Fjeldstad;1753
Fjell;796
Fjellanger;299
Fjelldal;441
Fjellestad;288
Fjellheim;865
Fjellstad;812
Fjellvang;312
Fjermestad;343
Fjær;209
Fjæreide;205
Fjærli;303
Fjørtoft;769
Flaa;349
Flaaten;207
Flage;211
Flataker;218
Flatebø;384
Flaten;936
Flatland;359
Flatmo;215
Flatøy;266
Flatås;309
Fleischer;300
Flem;408
Flesland;236
Flo;443
Flø;357
Flønes;259
Fløtre;272
Fløysvik;216
Flåten;495
Foldnes;221
Folgerø;341
Folkedal;237
Folkestad;639
Folkvord;332
Folland;262
Follestad;378
Fonn;264
Fonnes;215
Forberg;538
Forbord;341
Forland;297
Formo;349
Fornes;501
Forsberg;838
Forseth;357
Forsmo;325
Fosen;219
Foss;3137
Fossan;303
Fossdal;443
Fosse;2190
Fossen;1027
Fosser;203
Fosshaug;276
Fossheim;783
Fossland;294
Fossli;384
Fossmark;235
Fossmo;272
Fossnes;236
Fossum;2708
Fotland;511
Frafjord;489
Framnes;290
Frank;210
Frantzen;1503
Fredheim;1365
Fredriksen;6654
Fremstad;557
Fretheim;261
Friberg;361
Friestad;504
Frigstad;359
Friis;504
Frivold;211
Frogner;517
Frost;214
Frostad;477
Frydenberg;314
Frydenlund;1097
Frøiland;281
Frøland;467
Frøseth;301
Frøshaug;212
Frøyen;351
Frøyland;667
Frøysa;242
Frøystad;260
Fuglerud;275
Fuglestad;653
Fure;546
Furnes;1003
Furre;329
Furset;255
Furseth;282
Furu;534
Furuhaug;.
Furuheim;251
Furulund;626
Furunes;319
Furuseth;886
Fyhn;241
Fykse;216
Fylkesnes;320
Fylling;511
Fyllingen;201
Følstad;261
Førde;1066
Føreland;217
Førland;857
Førre;254
Førsund;221
